"item_code","item","unit","item_group","item_category","item_subcategory"
-1,,,,,
1,"AYAM BERSIH - STANDARD","1kg","BARANGAN SEGAR","AYAM","AYAM BERSIH"
2,"AYAM BERSIH - SUPER","1kg","BARANGAN SEGAR","AYAM","AYAM BERSIH"
3,"AYAM HIDUP","1kg","BARANGAN SEGAR","AYAM","AYAM HIDUP"
9,"DAGING KAMBING BEBIRI IMPORT BERTULANG (MUTTON) (AUSTRALIA - KOTAK)","1kg","BARANGAN SEGAR","DAGING","DAGING KAMBING"
10,"DAGING KAMBING BEBIRI IMPORT BERTULANG (MUTTON) (NEW ZEALAND - KOTAK)","1kg","BARANGAN SEGAR","DAGING","DAGING KAMBING"
11,"DAGING KAMBING BEBIRI IMPORT TANPA TULANG (MUTTON) (TIDAK TERMASUK PAHA - AUSTRALIA)","1kg","BARANGAN SEGAR","DAGING","DAGING KAMBING"
12,"DAGING KAMBING BEBIRI IMPORT TANPA TULANG (MUTTON) (TIDAK TERMASUK PAHA - NEW ZEALAND)","1kg","BARANGAN SEGAR","DAGING","DAGING KAMBING"
14,"DAGING KERBAU IMPORT (INDIA) * (TOP SIDE)","1kg","BARANGAN SEGAR","DAGING","DAGING KERBAU"
16,"BETIK BIASA","1kg","BARANGAN SEGAR","BUAH-BUAHAN","BETIK"
18,"PISANG BERANGAN","1kg","BARANGAN SEGAR","BUAH-BUAHAN","PISANG"
19,"PISANG EMAS","1kg","BARANGAN SEGAR","BUAH-BUAHAN","PISANG"
20,"TEMBIKAI MERAH BERBIJI","1kg","BARANGAN SEGAR","BUAH-BUAHAN","TEMBIKAI"
21,"TEMBIKAI MERAH TANPA BIJI","1kg","BARANGAN SEGAR","BUAH-BUAHAN","TEMBIKAI"
22,"DRAGON FRUIT MERAH","1kg","BARANGAN SEGAR","BUAH-BUAHAN","DRAGON FRUIT"
24,"TEMBIKAI SUSU","1kg","BARANGAN SEGAR","BUAH-BUAHAN","TEMBIKAI"
25,"NENAS BIASA (JOSAPINE/MORRIS/SARAWAK)","1 biji","BARANGAN SEGAR","BUAH-BUAHAN","NENAS"
26,"ANGGUR HIJAU BERBIJI","1kg","BARANGAN SEGAR","BUAH-BUAHAN","ANGGUR"
27,"ANGGUR MERAH BERBIJI","1kg","BARANGAN SEGAR","BUAH-BUAHAN","ANGGUR"
31,"LAI KUNING (SAIZ M)","1 biji","BARANGAN SEGAR","BUAH-BUAHAN","LAI"
38,"JAMBU BATU BERBIJI","1kg","BARANGAN SEGAR","BUAH-BUAHAN","JAMBU BATU"
39,"JAMBU BATU TANPA BIJI","1kg","BARANGAN SEGAR","BUAH-BUAHAN","JAMBU BATU"
43,"IKAN BAWAL HITAM (ANTARA 2 HINGGA 5 EKOR SEKILOGRAM)","1kg","BARANGAN SEGAR","BAHAN LAUT","IKAN BAWAL"
47,"IKAN CENCARU (ANTARA 4 HINGGA 6 EKOR SEKILOGRAM)","1kg","BARANGAN SEGAR","BAHAN LAUT","IKAN CENCARU"
49,"IKAN GELAMA (ANTARA 5 HINGGA 10 EKOR SEKILOGRAM)","1kg","BARANGAN SEGAR","BAHAN LAUT","IKAN GELAMA"
51,"IKAN JENAHAK (b % 1 KILOGRAM SEEKOR)","1kg","BARANGAN SEGAR","BAHAN LAUT","IKAN JENAHAK"
52,"KEPALA IKAN JENAHAK","1kg","BARANGAN SEGAR","BAHAN LAUT","IKAN JENAHAK"
55,"IKAN KEMBUNG KECIL/PELALING (ANTARA 10 HINGGA 18 EKOR SEKILOGRAM)","1kg","BARANGAN SEGAR","BAHAN LAUT","IKAN KEMBUNG"
60,"IKAN MERAH (b % 1 KILOGRAM SEEKOR)","1kg","BARANGAN SEGAR","BAHAN LAUT","IKAN MERAH"
64,"KEPALA IKAN MERAH","1kg","BARANGAN SEGAR","BAHAN LAUT","IKAN MERAH"
65,"IKAN KERAPU (ANTARA 2 HINGGA 5 EKOR SEKILOGRAM)","1kg","BARANGAN SEGAR","BAHAN LAUT","IKAN KERAPU"
66,"IKAN PARANG (ANTARA 1 HINGGA 3 EKOR SEKILOGRAM)","1kg","BARANGAN SEGAR","BAHAN LAUT","IKAN PARANG"
68,"IKAN PARI (KEPINGAN)","1kg","BARANGAN SEGAR","BAHAN LAUT","IKAN PARI"
69,"IKAN SELAR KUNING (b % 11 EKOR SEKILOGRAM)","1kg","BARANGAN SEGAR","BAHAN LAUT","IKAN SELAR"
70,"IKAN SELAR PELATA (≤ 7 EKOR SEKILOGRAM)","1kg","BARANGAN SEGAR","BAHAN LAUT","IKAN SELAR"
71,"IKAN SELAYANG/SARDIN  (≥ 13 EKOR SEKILOGRAM)","1kg","BARANGAN SEGAR","BAHAN LAUT","IKAN SELAYANG/SARDIN"
73,"IKAN SENANGIN (ANTARA 2 HINGGA 8 EKOR SEKILOGRAM)","1kg","BARANGAN SEGAR","BAHAN LAUT","IKAN SENANGIN"
78,"IKAN TAMBAN BELURU (ANTARA 10 HINGGA 19 EKOR SEKILOGRAM)","1kg","BARANGAN SEGAR","BAHAN LAUT","IKAN TAMBAN"
79,"IKAN TENGGIRI PAPAN (ANTARA 1 HINGGA 2 EKOR SEKILOGRAM)","1kg","BARANGAN SEGAR","BAHAN LAUT","IKAN TENGGIRI"
82,"IKAN TENGGIRI BATANG (ANTARA 1 HINGGA 2 EKOR SEKILOGRAM)","1kg","BARANGAN SEGAR","BAHAN LAUT","IKAN TENGGIRI"
83,"IKAN TONGKOL/AYA/KAYU HITAM (ANTARA 1 HINGGA 2 EKOR SEKILOGRAM)","1kg","BARANGAN SEGAR","BAHAN LAUT","IKAN TONGKOL/AYA/KAYU HITAM"
